company_name,department,employment_type,experience_level,job_description,job_title,job_url,location,posted_date,required_skills,salary
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Enterprise (Sao Paulo Brazil),https://stripe.com/jobs/listing/account-executive-enterprise-sao-paulo-brazil/7108249,São Paulo,2026-03-20,Api Rest,Not specified
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Product Sales Billing,https://stripe.com/jobs/listing/account-executive-product-sales-billing/7393167,Seattle,2026-03-20,Rest Api,$262 900 - $394 300.
Stripe,Security,Intern,Not specified,Help increase the GDP of the internet as part of our Security team.,Backend / API Engineer Privacy Products,https://stripe.com/jobs/listing/backend-api-engineer-privacy-products/7579264,Seattle or South San Francisco HQ,2026-03-20,Api Java Rest,$190 400 - $285 600.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Startup Platforms (Existing Business),https://stripe.com/jobs/listing/account-executive-startup-platforms-existing-business/7339700,South San Francisco HQ,2026-03-20,Scala Api Rest,$163 600 - $245 400.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive New Business France,https://stripe.com/jobs/listing/account-executive-new-business-france/7242090,Dublin HQ,2026-03-20,Rest Api,€133 300 - €199 900.
Stripe,Sales,Contract,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Velocity Grower (Japanese-speaking),https://stripe.com/jobs/listing/account-executive-velocity-grower-japanese-speaking/7364278,Tokyo,2026-03-20,Api React Sql Rest,¥13 869 600 - ¥20 804 400.
Stripe,Data Platform,Intern,Not specified,Help increase the GDP of the internet as part of our Data Platform team.,Backend Engineer Data,https://stripe.com/jobs/listing/backend-engineer-data/6865161,Toronto,2026-03-20,Rest Spark Scala Python Sql Java Hadoop Api,$135 200
Stripe,Payments,Intern,Not specified,Help increase the GDP of the internet as part of our Payments team.,Backend Engineer Payments and Risk,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/7232592,South San Francisco HQ New York or Seattle,2026-03-20,Api Rest Aws Docker Kubernetes Graphql,$155 700 - $285 600.
Stripe,Controllership,Contract,Not specified,Help increase the GDP of the internet as part of our Controllership team.,Accounts Receivable Manager,https://stripe.com/jobs/listing/accounts-receivable-manager/7118945,Bengaluru,2026-03-20,Scala Api Rest,Not specified
Stripe,Infrastructure & Corporate Tech,Intern,Not specified,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,Backend Engineer Core Technology,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172,New York South San Francisco HQ or Seattle,2026-03-20,Scala Rest Java C++ Api,$173 000 - $259 600.
